Head,WIFI5Ghz,HotspotVoice,BTMedia,Cell,IMU,BluetoothPower
0,0,0,0,0,1,50
0,0,0,0,1,1,50
0,0,0,1,0,1,50
0,0,0,1,1,1,50
0,0,1,0,0,1,50
0,0,1,0,1,1,50
0,0,1,1,0,1,50
0,0,1,1,1,1,50
0,1,0,0,0,1,50
0,1,0,0,1,1,50
0,1,0,1,0,1,50
0,1,0,1,1,1,50
0,1,1,0,0,1,50
0,1,1,0,1,1,50
0,1,1,1,0,1,50
0,1,1,1,1,1,50
1,0,0,0,0,-1,34
1,0,0,0,1,-1,34
1,0,0,1,0,-1,34
1,0,0,1,1,-1,34
1,0,1,0,0,-1,34
1,0,1,0,1,-1,34
1,0,1,1,0,-1,34
1,0,1,1,1,-1,34
1,1,0,0,0,-1,34
1,1,0,0,1,-1,34
1,1,0,1,0,-1,34
1,1,0,1,1,-1,34
1,1,1,0,0,-1,34
1,1,1,0,1,-1,34
1,1,1,1,0,-1,34
1,1,1,1,1,-1,34
0,-1,-1,-1,-1,0,64
